session_id,created_at,user_id,is_repeat_session,traffic_source,utm_campaign,utm_content,device,http_referer,pages_viewed,order_value,items_purchased,time_spent_sec,add_to_cart,product_views
236999,2014-04-26 22:24:30,203754,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
5507,2012-04-30 08:35:07,5358,0,GSEARCH,nonbrand,g_ad_1,mobile,https://www.gsearch.com,1,0.0,0.0,45,0,0
390454,2014-12-11 10:58:28,277697,1,,,,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
306139,2014-08-20 21:17:34,260122,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,4,0.0,0.0,180,0,2
293472,2014-07-31 00:22:03,241928,1,,,,desktop,https://www.gsearch.com,2,0.0,0.0,90,0,1
360017,2014-11-10 15:46:19,303792,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com,2,0.0,0.0,90,0,1
178966,2014-01-09 18:27:05,155834,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,7,49.99,1.0,315,1,4
43530,2012-11-19 10:02:36,39561,0,gsearch_ads,nonbrand,g_ad_1,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
122808,2013-08-24 09:32:08,107596,0,,,,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
349431,2014-10-25 23:08:20,265893,1,,,,desktop,,3,0.0,0.0,135,0,1
94037,2013-05-14 20:04:21,70024,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com,3,0.0,0.0,135,0,1
292714,2014-07-29 22:56:42,204306,1,,,,desktop,,4,0.0,0.0,180,0,2
205988,2014-02-28 11:55:17,178459,0,bsearch,,b_ad_1,desktop,https://www.bsearch.com,1,0.0,0.0,45,0,0
348990,2014-10-24 20:21:58,294810,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,3,0.0,0.0,135,0,1
8356,2012-05-24 13:07:27,7942,0,GSEARCH,nonbrand,g_ad_1,mobile,https://www.gsearch.com,1,0.0,0.0,45,0,0
94949,2013-05-17 16:05:55,74293,1,gsearch,brand,g_ad_2,mobile,https://www.gsearch.com,1,0.0,0.0,45,0,0
367605,2014-11-19 19:05:06,310018,0,bsearch,,b_ad_1,desktop,https://www.bsearch.com,3,0.0,0.0,135,0,1
32571,2012-10-10 19:53:34,29731,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com,2,0.0,0.0,90,0,1
5956,2012-05-03 13:06:40,2141,1,gsearch,,g_ad_2,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
34109,2012-10-17 09:14:01,31090,0,GSEARCH,nonbrand,g_ad_1,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
286055,2014-07-18 12:49:03,243855,0,bsearch,nonbrand,b_ad_1,mobile,https://www.bsearch.com,3,0.0,0.0,135,0,1
324835,2014-09-19 00:00:05,275354,0,,,,desktop,,2,0.0,0.0,90,0,1
63952,2013-01-08 11:02:20,57660,0,Gsearch,,g_ad_1,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
263947,2014-06-12 04:41:46,214370,1,bsearch,brand,b_ad_2,desktop,https://www.bsearch.com,2,0.0,0.0,90,0,1
50177,2012-11-26 15:42:21,45945,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
92266,2013-05-08 10:23:52,75642,1,Gsearch,brand,g_ad_2,mobile,https://www.gsearch.com,4,0.0,0.0,180,0,2
84073,2013-04-08 01:07:17,74377,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,6,0.0,0.0,270,0,3
157847,2013-11-29 15:37:23,137708,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,2,0.0,0.0,90,0,1
374705,2014-11-28 10:28:53,315898,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,7,49.99,1.0,315,1,4
178026,2014-01-07 20:18:27,155079,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,2,0.0,0.0,90,0,1
127863,2013-09-10 00:04:09,111884,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,3,0.0,0.0,135,0,1
198016,2014-02-14 10:31:31,171718,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,6,0.0,0.0,270,0,3
462444,2015-03-06 09:02:04,386115,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com,3,0.0,0.0,135,0,1
236844,2014-04-26 12:35:22,203625,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com,4,0.0,0.0,180,0,2
88087,2013-04-22 20:34:20,77913,0,Bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com,1,0.0,0.0,45,0,0
312531,2014-08-31 12:08:02,265321,0,bsearch,,b_ad_1,desktop,https://www.bsearch.com,2,0.0,0.0,90,0,1
332629,2014-10-01 12:09:27,281607,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
234254,2014-04-22 13:08:06,201513,0,bsearch,,b_ad_1,desktop,https://www.bsearch.com,1,0.0,0.0,45,0,0
113573,2013-07-23 19:15:09,99766,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com,1,0.0,0.0,45,0,0
369830,2014-11-22 13:35:23,298577,1,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com,4,0.0,0.0,180,0,2
137523,2013-10-09 06:44:56,120152,0,Gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
88110,2013-04-22 23:22:00,77935,0,GSEARCH,nonbrand,g_ad_1,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
384077,2014-12-02 22:47:42,324617,0,bsearch,nonbrand,b_ad_1,desktop,https://www.bsearch.com,3,0.0,0.0,135,0,1
435724,2015-02-03 11:33:28,307413,1,gsearch,,g_ad_2,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
347256,2014-10-22 17:10:57,293426,0,socialbook,desktop_targeted,social_ad_2,desktop,https://www.socialbook.com,1,0.0,0.0,45,0,0
403322,2014-12-25 10:22:09,318986,1,,,,desktop,https://www.bsearch.com,7,49.99,1.0,315,1,4
368688,2014-11-20 21:29:26,310888,0,gsearch_ads,nonbrand,g_ad_1,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
155130,2013-11-28 14:07:56,119526,1,,,,desktop,,3,0.0,0.0,135,0,1
231144,2014-04-16 16:46:51,198984,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com,1,0.0,0.0,45,0,0
210658,2014-03-09 13:48:29,182344,0,gsearch,brand,g_ad_2,desktop,https://www.gsearch.com,3,0.0,0.0,135,0,1
203626,2014-02-24 19:02:40,174097,1,,,,mobile,https://www.gsearch.com,1,0.0,0.0,45,0,0
